Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"14-Oct-2024","13546","13562","13386","13544","1m","145.7m","13.5207k","4,537","1",
"11-Oct-2024","13299","13500","13191","13436","2m","231.89m","13.41629k","5,782","1",
"10-Oct-2024","13360","13379","13120","13220","1m","187.39m","13.20005k","4,953","1",
"09-Oct-2024","13201","13271","13080","13257","2m","222.67m","13.17499k","5,019","1",
"08-Oct-2024","13000","13230","12901","13168","2m","244.82m","13.16118k","7,100","1",
"07-Oct-2024","12950","13160","12861","13121","1m","142.83m","13.07439k","4,410","1",
"04-Oct-2024","13089","13089","12766","12965","631k","81.63m","12.94217k","3,360","1",
"03-Oct-2024","12500","12859","12500","12772","987k","125.91m","12.75786k","4,241","1",
"02-Oct-2024","12855","12963","12814","12814","733k","94.31m","12.84393k","2,859","1",
"01-Oct-2024","13304","13304","12820","12857","856k","110.94m","12.96223k","4,726","1",
"30-Sep-2024","13361","13361","13057","13100","887k","116.28m","13.10585k","2,939","1",
"27-Sep-2024","13233","13305","13134","13235","549k","72.62m","13.23262k","3,348","1",
"26-Sep-2024","13000","13299","12979","13233","1m","173.29m","13.19852k","4,759","1",
"25-Sep-2024","13400","13400","12933","12966","2m","254.5m","13.09582k","9,843","1",
"24-Sep-2024","0","0","0","12945","0","0","0","0","1",
"23-Sep-2024","13150","13150","12682","12945","2m","201.75m","12.89301k","7,263","1",
"20-Sep-2024","13471","13683","13105","13150","2m","300.53m","13.18236k","3,958","1",
"19-Sep-2024","13548","13707","13468","13609","3m","433.17m","13.52184k","7,221","1",
"18-Sep-2024","13570","13768","13478","13560","691k","93.8m","13.58006k","5,418","1",
"17-Sep-2024","13700","13785","13494","13738","659k","90.4m","13.72069k","4,664","1",
"16-Sep-2024","13289","13495","13157","13451","646k","86.6m","13.40899k","6,271","1",
"13-Sep-2024","13525","13560","13287","13336","605k","80.94m","13.36851k","4,861","1",
"12-Sep-2024","13700","13700","13364","13586","1m","182.59m","13.48635k","10,393","1",
"11-Sep-2024","13333","13431","13092","13310","1m","173.95m","13.2435k","7,782","1",
"10-Sep-2024","13250","13402","13157","13333","645k","85.66m","13.2779k","4,325","1",
"09-Sep-2024","13397","13430","13250","13250","323k","42.98m","13.29072k","1,792","1",
"06-Sep-2024","13461","13495","13319","13379","735k","98.53m","13.40603k","3,291","1",
"05-Sep-2024","13470","13558","13366","13454","1m","142.72m","13.46726k","4,749","1",
"04-Sep-2024","13530","13681","13439","13562","2m","233.72m","13.56563k","7,443","1",
"03-Sep-2024","13634","13797","13450","13495","2m","255.29m","13.60811k","4,772","1",
"02-Sep-2024","13398","13634","13398","13634","1m","146.85m","13.58879k","4,094","1",
"30-Aug-2024","13399","13578","13295","13549","1m","164.48m","13.50231k","3,505","1",
"29-Aug-2024","13810","13810","13370","13436","1m","152.3m","13.54541k","5,864","1",
"28-Aug-2024","13651","13807","13619","13776","2m","224.37m","13.75774k","6,263","1",
"27-Aug-2024","13746","13746","13466","13702","1m","201.18m","13.63078k","7,454","1",
"26-Aug-2024","13390","13642","13390","13622","521k","70.55m","13.54272k","2,900","1",
"23-Aug-2024","13200","13481","13179","13425","3m","442.42m","13.33127k","9,973","1",
"22-Aug-2024","13322","13499","13150","13194","1m","180.52m","13.34049k","5,826","1",
"21-Aug-2024","13288","13450","13288","13322","651k","86.96m","13.363k","3,884","1",
"20-Aug-2024","13701","13852","13700","13800","783k","108.03m","13.79515k","5,125","1",
"19-Aug-2024","13481","13869","13481","13780","1m","174.84m","13.79206k","3,166","1",
"16-Aug-2024","13743","13870","13633","13696","1m","155.74m","13.71777k","6,128","1",
"15-Aug-2024","13583","13773","13510","13559","3m","353.38m","13.61189k","7,816","1",
"14-Aug-2024","13578","13631","13471","13583","624k","84.61m","13.56604k","4,567","1",
"13-Aug-2024","13129","13567","13129","13487","1m","162.88m","13.44099k","7,030","1",
"12-Aug-2024","13512","13801","13371","13499","1m","157.31m","13.45612k","5,350","1",
"09-Aug-2024","0","0","0","13374","0","0","0","0","1",
"08-Aug-2024","13317","13429","13171","13374","2m","234.05m","13.3682k","6,981","1",
"07-Aug-2024","13666","13666","13355","13455","2m","247.91m","13.4592k","4,986","1",
"06-Aug-2024","13001","13700","13001","13438","531k","71.14m","13.38816k","3,704","1",
"05-Aug-2024","13422","13566","13146","13542","1m","157.58m","13.47347k","5,291","1",
"02-Aug-2024","13628","13807","13628","13699","853k","116.98m","13.71149k","7,645","1",
"01-Aug-2024","14330","14330","13963","13994","640k","90.66m","14.15917k","4,285","1",
