Time,Price,Volume,Value,Reason,Condition Code,Trade No,DS
"16:23:11","1227","1,261","15,472","BID","","2623470","JSE",
"09:51:58","1244","1,222","15,202","BID","","228520","JSE",
"11:34:11","1244","1,203","14,965","BID","","892060","JSE",
"10:00:25","1247","1,200","14,964","BID","","273980","JSE",
"10:53:21","1246","1,200","14,952","BID","","649790","JSE",
"10:03:04","1241","1,201","14,904","ASK","","311470","JSE",
"14:20:14","1233","1,200","14,796","ASK","","1770340","JSE",
"15:23:33","1229","1,196","14,699","ASK","","2162150","JSE",
"15:27:55","1230","1,192","14,662","-","","2186330","JSE",
"15:27:55","1230","1,192","14,662","BID","","2186310","JSE",
"09:54:03","1245","1,176","14,641","-","","239840","JSE",
"09:54:03","1245","1,172","14,591","-","","239860","JSE",
"13:39:50","1233","1,167","14,389","ASK","","1560300","JSE",
"15:58:13","1231","1,153","14,193","BID","","2394280","JSE",
"14:48:50","1228","1,153","14,159","ASK","","1933180","JSE",
"15:27:55","1230","1,127","13,862","BID","","2186300","JSE",
"11:34:08","1245","1,112","13,844","ASK","","889540","JSE",
"10:30:11","1249","1,108","13,839","BID","","515710","JSE",
"09:34:02","1237","1,111","13,743","ASK","","164680","JSE",
"12:46:38","1246","1,100","13,706","BID","","1263700","JSE",
"12:32:20","1246","1,100","13,706","BID","","1189990","JSE",
"16:18:51","1225","1,100","13,475","BID","","2586870","JSE",
"16:18:51","1224","1,100","13,464","BID","","2586840","JSE",
"09:34:02","1237","1,082","13,384","ASK","","164710","JSE",
"09:34:02","1237","1,056","13,063","ASK","","164690","JSE",
"10:00:29","1247","1,044","13,019","BID","","275460","JSE",
"11:34:08","1245","1,037","12,911","-","","889610","JSE",
"12:55:43","1241","1,038","12,882","ASK","","1315170","JSE",
"13:28:48","1241","1,019","12,646","ASK","","1511560","JSE",
"13:08:50","1242","1,015","12,606","ASK","","1397570","JSE",
"12:49:16","1246","999","12,448","ASK","","1279270","JSE",
"12:13:13","1246","999","12,448","ASK","","1106730","JSE",
"12:32:08","1245","999","12,438","ASK","","1188910","JSE",
"11:34:09","1242","999","12,408","ASK","","890090","JSE",
"12:32:08","1245","996","12,400","ASK","","1188930","JSE",
"14:39:29","1229","986","12,118","BID","","1871180","JSE",
"12:32:09","1245","969","12,064","ASK","","1189050","JSE",
"15:09:52","1228","982","12,059","ASK","","2066010","JSE",
"15:23:07","1230","980","12,054","BID","","2159830","JSE",
"10:11:50","1246","966","12,036","BID","","383620","JSE",
"10:11:59","1246","928","11,563","BID","","384670","JSE",
"16:36:19","1229","935","11,491","BID","","2783780","JSE",
"12:49:16","1246","921","11,476","ASK","","1279300","JSE",
"14:20:14","1233","925","11,405","ASK","","1770350","JSE",
"10:59:28","1247","900","11,223","BID","","681040","JSE",
"09:54:03","1245","894","11,130","-","","239820","JSE",
"16:02:53","1231","904","11,128","BID","","2433270","JSE",
"13:39:50","1234","900","11,106","BID","","1560390","JSE",
"14:39:03","1228","900","11,052","BID","","1869320","JSE",
"12:32:54","1250","884","11,050","ASK","","1193210","JSE",
"12:32:09","1245","887","11,043","ASK","","1189070","JSE",
"16:18:51","1225","900","11,025","BID","","2586880","JSE",
"12:32:08","1245","858","10,682","ASK","","1189010","JSE",
"10:53:06","1246","846","10,541","BID","","648800","JSE",
"15:46:50","1224","852","10,428","BID","","2320070","JSE",
"12:32:08","1245","827","10,296","ASK","","1188980","JSE",
