Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"13-Dec-2024","22828","23156","22750","22969","3m","605.08m","22.9879k","15,323","1",
"12-Dec-2024","23044","23050","22856","22876","2m","547.48m","22.91633k","8,444","1",
"11-Dec-2024","23125","23350","22827","22950","3m","798.09m","22.9462k","11,632","1",
"10-Dec-2024","23020","23440","23020","23232","4m","856.56m","23.23147k","11,678","1",
"09-Dec-2024","23000","23439","23000","23343","2m","511.57m","23.31664k","7,704","1",
"06-Dec-2024","23000","23377","23000","23224","4m","927.4m","23.22371k","11,840","1",
"05-Dec-2024","22773","23493","22773","23253","3m","660.49m","23.25892k","12,073","1",
"04-Dec-2024","22631","23130","22631","22908","4m","969.55m","22.96821k","14,387","1",
"03-Dec-2024","23500","23704","22669","22760","6m","1.45b","22.95244k","18,172","1",
"02-Dec-2024","23420","23550","22310","23421","7m","1.52b","23.21274k","15,106","1",
"29-Nov-2024","23655","23919","23604","23688","3m","726.84m","23.72608k","7,982","1",
"28-Nov-2024","23800","24144","23500","23844","2m","587.9m","23.80875k","8,829","1",
"27-Nov-2024","23950","24130","23711","23711","3m","799.39m","23.84748k","10,069","1",
"26-Nov-2024","24025","24499","23971","24088","2m","590.02m","24.13332k","11,203","1",
"25-Nov-2024","24265","24785","24161","24220","6m","1.49b","24.29641k","11,177","1",
"22-Nov-2024","24800","24948","24401","24432","3m","625.02m","24.49986k","10,953","1",
"21-Nov-2024","24250","24778","24250","24716","2m","569.17m","24.67459k","6,144","1",
"20-Nov-2024","23875","24601","23875","24470","3m","624.48m","24.45083k","7,293","1",
"19-Nov-2024","24007","24158","23743","23967","2m","388.7m","23.98779k","8,332","1",
"18-Nov-2024","24046","24215","23904","23984","1m","316.86m","23.99348k","5,217","1",
"15-Nov-2024","24159","24288","23964","23964","2m","393.96m","24.04523k","4,733","1",
"14-Nov-2024","24020","24645","24020","24162","2m","566.41m","24.23564k","8,299","1",
"13-Nov-2024","24619","24619","24064","24170","2m","411.21m","24.17591k","6,739","1",
"12-Nov-2024","24099","24256","23808","24166","3m","636m","24.10291k","11,381","1",
"11-Nov-2024","24198","24328","23859","24057","2m","542.66m","24.04963k","10,457","1",
"08-Nov-2024","24355","24687","24114","24155","3m","723.89m","24.23254k","11,328","1",
"07-Nov-2024","24570","25045","24457","24460","3m","761.5m","24.57395k","7,020","1",
"06-Nov-2024","24780","24856","24450","24560","3m","653.19m","24.58561k","14,404","1",
"05-Nov-2024","24610","25162","24610","24962","3m","779.17m","24.97578k","14,133","1",
"04-Nov-2024","24500","24950","24334","24827","5m","1.15b","24.8262k","13,602","1",
"01-Nov-2024","24100","24604","24098","24542","3m","668.96m","24.4025k","12,887","1",
"31-Oct-2024","24047","24436","24008","24156","4m","962.76m","24.20408k","10,896","1",
"30-Oct-2024","23950","24361","23669","24283","4m","1.05b","24.23688k","14,100","1",
"29-Oct-2024","24299","24399","23754","23950","3m","833.41m","24.07203k","12,134","1",
"28-Oct-2024","23773","24376","23654","24244","3m","688.23m","24.18638k","7,675","1",
"25-Oct-2024","23800","24057","23745","23774","1m","355.75m","23.82353k","6,385","1",
"24-Oct-2024","23600","24100","23600","23839","1m","275.58m","23.85543k","5,637","1",
"23-Oct-2024","23751","23950","23596","23679","2m","454.55m","23.71966k","7,530","1",
"22-Oct-2024","23962","23992","23544","23750","3m","688.56m","23.72842k","10,584","1",
"21-Oct-2024","23931","24168","23600","23960","2m","530.92m","23.94226k","9,353","1",
"18-Oct-2024","23700","23904","23399","23899","4m","840.82m","23.7188k","17,084","1",
"17-Oct-2024","24020","24302","23500","23767","3m","623.43m","23.80364k","9,216","1",
"16-Oct-2024","24438","24438","24107","24119","2m","460.74m","24.16091k","9,256","1",
"15-Oct-2024","24193","24447","24123","24296","2m","456.91m","24.27748k","9,531","1",
"14-Oct-2024","24225","24436","24082","24337","2m","462.33m","24.31808k","6,547","1",
"11-Oct-2024","23800","24280","23670","24180","1m","361.25m","24.11714k","5,529","1",
"10-Oct-2024","23669","23917","23581","23700","1m","343.19m","23.74355k","8,939","1",
"09-Oct-2024","23700","23876","23351","23652","2m","381.9m","23.59821k","7,459","1",
"08-Oct-2024","23500","24036","23500","23797","3m","749.09m","23.8337k","13,188","1",
"07-Oct-2024","23556","23900","23556","23763","2m","408.64m","23.7784k","5,866","1",
"04-Oct-2024","23600","23892","23598","23738","2m","529.61m","23.74723k","9,015","1",
"03-Oct-2024","23868","24158","23515","23622","3m","592.95m","23.65014k","9,571","1",
"02-Oct-2024","23770","24139","23733","23926","3m","656.05m","23.91462k","8,450","1",
"01-Oct-2024","24095","24450","23713","23847","4m","952.84m","24.07296k","14,013","1",
"30-Sep-2024","24600","24821","24112","24235","4m","1.09b","24.30188k","14,165","1",
"27-Sep-2024","24945","25090","24525","24645","4m","878.12m","24.68797k","12,591","1",
"26-Sep-2024","25028","25246","24812","25042","5m","1.16b","25.05086k","15,813","1",
"25-Sep-2024","25050","25276","24830","24986","6m","1.42b","25.00328k","20,982","1",
"24-Sep-2024","0","0","0","24841","0","0","0","0","1",
"23-Sep-2024","24355","24987","24355","24841","3m","647.93m","24.80513k","14,277","1",
"20-Sep-2024","24415","24589","24178","24338","6m","1.38b","24.34383k","7,999","1",
"19-Sep-2024","24160","24584","24100","24417","11m","2.69b","24.42561k","17,121","1",
"18-Sep-2024","23890","24030","23713","24030","3m","752.97m","23.91667k","14,435","1",
"17-Sep-2024","23133","23995","23133","23875","3m","817.01m","23.77498k","13,381","1",
"16-Sep-2024","23149","23275","22946","23260","3m","585.36m","23.22366k","10,971","1",
"13-Sep-2024","23199","23200","22890","23155","3m","673.61m","23.11937k","11,508","1",
"12-Sep-2024","22825","23174","22729","22919","3m","649.84m","22.9377k","15,015","1",
"11-Sep-2024","23200","23200","22569","22790","3m","590.21m","22.79554k","13,325","1",
"10-Sep-2024","23400","23820","23309","23726","3m","773.43m","23.65966k","12,343","1",
"09-Sep-2024","23324","23646","23137","23408","2m","477.44m","23.47579k","8,652","1",
"06-Sep-2024","23350","23592","23321","23361","3m","810.84m","23.41149k","10,416","1",
"05-Sep-2024","23850","23946","23354","23492","5m","1.13b","23.54047k","11,199","1",
"04-Sep-2024","23235","23893","23235","23845","3m","742.4m","23.75982k","15,248","1",
"03-Sep-2024","23800","24112","23480","23509","2m","525.74m","23.64201k","10,201","1",
"02-Sep-2024","24000","24040","23808","23903","2m","444.48m","23.91383k","8,791","1",
"30-Aug-2024","24200","24299","23809","24000","5m","1.17b","23.98818k","7,876","1",
"29-Aug-2024","24151","24310","23880","24255","3m","628.47m","24.2081k","13,050","1",
"28-Aug-2024","24162","24350","24089","24179","4m","957.19m","24.19955k","14,371","1",
"27-Aug-2024","24000","24222","23874","24219","3m","645.75m","24.0955k","10,682","1",
"26-Aug-2024","23761","24194","23572","24058","3m","692.25m","23.96752k","7,612","1",
"23-Aug-2024","23151","24106","23151","23761","2m","570.19m","23.68658k","16,933","1",
"22-Aug-2024","23545","23890","23215","23275","2m","557.26m","23.41069k","11,385","1",
"21-Aug-2024","23699","23874","23493","23641","2m","518.45m","23.66411k","8,913","1",
"20-Aug-2024","23550","23930","23463","23601","2m","506.29m","23.62971k","8,572","1",
"19-Aug-2024","23300","23910","23228","23719","3m","738.34m","23.72734k","10,137","1",
"16-Aug-2024","23165","23927","23088","23416","6m","1.46b","23.48405k","23,932","1",
"15-Aug-2024","21750","23702","21750","23224","9m","2.01b","23.05904k","26,596","1",
"14-Aug-2024","21700","22072","21613","21907","2m","429.98m","21.88686k","6,777","1",
"13-Aug-2024","21500","21750","21500","21700","2m","472.42m","21.6664k","6,827","1",
"12-Aug-2024","21880","21988","21479","21615","3m","639.21m","21.63296k","11,331","1",
"09-Aug-2024","0","0","0","21667","0","0","0","0","1",
"08-Aug-2024","21616","21883","21482","21667","3m","750.7m","21.70425k","10,107","1",
"07-Aug-2024","21951","21954","21668","21790","3m","622.65m","21.80021k","8,153","1",
"06-Aug-2024","21925","21925","21477","21777","3m","706.12m","21.72949k","15,765","1",
"05-Aug-2024","21355","21763","21079","21763","5m","1.06b","21.53398k","17,962","1",
"02-Aug-2024","22192","22192","21548","21848","4m","886.74m","21.82198k","16,224","1",
"01-Aug-2024","22200","22386","22072","22192","3m","650.55m","22.21726k","10,989","1",
"31-Jul-2024","22000","22186","21947","22178","3m","775.25m","22.15941k","13,475","1",
"30-Jul-2024","21675","22150","21675","22050","2m","487.3m","22.03838k","10,334","1",
"29-Jul-2024","21675","22048","21675","21853","3m","586.4m","21.89495k","10,965","1",
"26-Jul-2024","21920","21925","21700","21910","2m","513.36m","21.86566k","7,673","1",
"25-Jul-2024","21000","21922","20836","21836","5m","1.18b","21.59217k","14,662","1",
"24-Jul-2024","21400","21401","21165","21208","2m","451.48m","21.22613k","6,075","1",
"23-Jul-2024","21100","21900","20988","21393","2m","450.75m","21.33273k","7,889","1",
"22-Jul-2024","20930","21145","20784","21140","1m","312.13m","21.03765k","6,272","1",
"19-Jul-2024","20800","20954","20558","20940","2m","409.93m","20.87097k","10,493","1",
"18-Jul-2024","20880","21235","20691","20737","5m","984.71m","20.82075k","16,405","1",
"17-Jul-2024","21200","21239","20850","20949","2m","514.13m","20.93398k","12,881","1",
"16-Jul-2024","21500","21500","21055","21300","3m","695.55m","21.30768k","13,634","1",
"15-Jul-2024","21281","21700","21178","21700","4m","956.81m","21.64277k","6,321","1",
"12-Jul-2024","21242","21400","21146","21300","1m","309.49m","21.27872k","6,028","1",
"11-Jul-2024","21139","21303","20933","21244","2m","361.17m","21.21542k","6,135","1",
"10-Jul-2024","21350","21350","20892","20892","1m","267.39m","21.00441k","5,264","1",
"09-Jul-2024","21221","21238","20953","21210","2m","327.11m","21.11498k","6,038","1",
"08-Jul-2024","21275","21278","20886","21239","1m","303.85m","21.16776k","5,475","1",
"05-Jul-2024","21259","21259","20710","21018","2m","321.94m","21.03302k","6,526","1",
"04-Jul-2024","21200","21414","21151","21275","2m","356.72m","21.29406k","6,511","1",
"03-Jul-2024","20881","21237","20839","21189","2m","493.69m","21.16143k","6,771","1",
"02-Jul-2024","21200","21312","20750","20776","4m","767.19m","20.92254k","11,938","1",
"01-Jul-2024","21381","21772","21229","21229","4m","859.19m","21.45143k","11,323","1",
"28-Jun-2024","20572","21226","20563","21081","4m","788.95m","21.04986k","12,679","1",
"27-Jun-2024","20696","20767","20449","20507","2m","504.4m","20.56765k","7,211","1",
"26-Jun-2024","20900","21143","20635","20696","4m","761.3m","20.78622k","10,205","1",
"25-Jun-2024","21050","21268","20966","21067","2m","525.87m","21.08971k","8,369","1",
