Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"26-Sep-2024","95","96","90","96","50k","46.14k","91.53863","6","1",
"25-Sep-2024","95","95","90","90","62k","57.33k","92.41795","5","1",
"24-Sep-2024","0","0","0","95","0","0","0","0","1",
"23-Sep-2024","95","98","88","95","109k","99.64k","91.71191","16","1",
"20-Sep-2024","99","99","98","99","122k","120.12k","98.81649","7","1",
"19-Sep-2024","95","100","95","100","6k","5.98k","95.67862","3","1",
"18-Sep-2024","95","96","92","95","275k","258.83k","94.01691","11","1",
"17-Sep-2024","87","96","85","94","868k","808.13k","93.06053","53","1",
"16-Sep-2024","74","83","74","83","563k","449.98k","79.96763","16","1",
"13-Sep-2024","75","75","75","75","15k","11.25k","75","2","1",
"12-Sep-2024","70","76","70","76","75k","54.39k","72.62631","7","1",
"11-Sep-2024","70","72","70","72","84k","58.95k","70.30928","9","1",
"10-Sep-2024","69","72","69","70","27k","18.49k","69.59091","4","1",
"09-Sep-2024","67","70","67","70","49k","33.72k","69.05812","3","1",
"06-Sep-2024","69","72","69","72","88k","62.55k","71.08295","4","1",
"05-Sep-2024","71","71","70","71","46k","32.5k","70.70567","5","1",
"04-Sep-2024","71","72","70","70","44k","31.52k","70.98439","4","1",
"03-Sep-2024","70","71","70","71","53k","37.28k","70.71532","8","1",
"02-Sep-2024","70","72","67","67","474k","328.77k","69.38108","22","1",
"30-Aug-2024","70","70","65","68","30k","19.46k","65.30849","5","1",
"29-Aug-2024","64","68","64","65","157k","100.56k","64.11531","5","1",
"28-Aug-2024","63","69","63","64","8k","5k","65.46498","3","1",
"27-Aug-2024","68","69","60","62","34k","21.49k","62.75454","7","1",
"26-Aug-2024","58","60","58","60","14k","8.21k","58.42692","2","1",
"23-Aug-2024","64","65","59","59","299k","189.35k","63.23537","12","1",
"22-Aug-2024","63","63","61","61","22k","13.66k","62.31102","4","1",
"21-Aug-2024","57","65","57","65","26k","14.91k","57.8546","5","1",
"20-Aug-2024","60","60","57","57","28k","16.02k","57.24839","4","1",
"19-Aug-2024","55","58","55","58","16k","8.87k","55.37931","6","1",
"16-Aug-2024","57","60","53","56","153k","87k","56.95524","10","1",
"15-Aug-2024","60","62","57","57","119k","72.33k","60.72796","7","1",
"14-Aug-2024","58","59","58","59","125k","73.9k","58.92925","7","1",
"13-Aug-2024","54","58","53","58","397k","218.96k","55.14415","14","1",
"12-Aug-2024","53","53","46","47","164k","79.33k","48.38886","9","1",
"09-Aug-2024","0","0","0","54","0","0","0","0","1",
"08-Aug-2024","54","54","54","54","1k","540","54","1","1",
"07-Aug-2024","54","54","54","54","92k","49.68k","54","3","1",
"06-Aug-2024","51","55","49","55","65k","34.24k","52.31672","7","1",
"05-Aug-2024","55","57","50","50","1m","720.16k","51.21573","22","1",
"02-Aug-2024","58","58","56","58","130k","74.16k","56.95553","7","1",
"01-Aug-2024","59","59","59","59","94k","55.17k","59","2","1",
"31-Jul-2024","58","59","55","59","258k","146.99k","56.95366","11","1",
"30-Jul-2024","60","60","57","59","244k","140.16k","57.54028","13","1",
"29-Jul-2024","58","59","57","57","60k","34.97k","58.0327","7","1",
"26-Jul-2024","60","60","58","60","36k","21.25k","59.85408","5","1",
"25-Jul-2024","60","60","60","60","4k","2.39k","60","3","1",
"24-Jul-2024","57","61","57","61","34k","19.44k","58.01493","4","1",
