Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"16-May-2024","15366","15538","15245","15368","3m","503.55m","15.38526k","9,922","1",
"15-May-2024","15152","15486","15152","15366","4m","551.36m","15.38623k","12,927","1",
"14-May-2024","15010","15368","15010","15152","3m","454.54m","15.20523k","8,117","1",
"13-May-2024","15241","15300","15121","15166","1m","191.52m","15.20851k","5,993","1",
"10-May-2024","14951","15294","14951","15218","6m","832.63m","15.08547k","7,867","1",
"09-May-2024","14907","14972","14765","14851","2m","336.82m","14.8708k","5,996","1",
"08-May-2024","14750","15030","14653","14905","3m","465.97m","14.84518k","9,965","1",
"07-May-2024","14750","14873","14679","14755","2m","352.82m","14.78194k","7,097","1",
"06-May-2024","14705","14881","14670","14708","3m","384.91m","14.76292k","6,747","1",
"03-May-2024","14564","14789","14480","14700","3m","423.21m","14.68308k","6,595","1",
"02-May-2024","14512","14797","14475","14475","3m","420.83m","14.59048k","8,202","1",
"01-May-2024","0","0","0","14546","0","0","0","0","1",
"30-Apr-2024","14490","14629","14371","14546","3m","449.42m","14.55166k","8,686","1",
"29-Apr-2024","14175","14464","14159","14400","2m","359.13m","14.37315k","6,635","1",
"26-Apr-2024","13846","14134","13688","14134","3m","369.61m","13.97839k","6,503","1",
"25-Apr-2024","13800","14000","13800","13833","2m","312.5m","13.87294k","7,810","1",
"24-Apr-2024","14130","14141","13820","13820","5m","652.84m","13.8971k","10,042","1",
"23-Apr-2024","14250","14270","13926","14112","2m","233.22m","14.05845k","5,318","1",
"22-Apr-2024","14100","14311","14022","14079","2m","304.15m","14.13821k","6,584","1",
"19-Apr-2024","13794","14035","13683","14001","2m","322.01m","13.93706k","7,523","1",
"18-Apr-2024","13887","13958","13683","13877","3m","368.87m","13.84019k","11,033","1",
"17-Apr-2024","14000","14010","13708","13778","3m","428.48m","13.83345k","11,006","1",
"16-Apr-2024","14551","14578","14262","14550","3m","469.07m","14.47497k","12,216","1",
"15-Apr-2024","14601","14870","14562","14562","2m","278.95m","14.68789k","7,592","1",
"12-Apr-2024","14876","14876","14414","14510","3m","452.24m","14.56891k","16,318","1",
"11-Apr-2024","15180","15180","14649","14850","2m","364.72m","14.78363k","7,851","1",
"10-Apr-2024","15134","15276","14857","15016","3m","452.51m","15.05242k","11,240","1",
"09-Apr-2024","14700","15139","14680","15139","6m","930.82m","15.0023k","9,829","1",
"08-Apr-2024","14675","14760","14506","14727","2m","346.87m","14.66487k","8,012","1",
"05-Apr-2024","14800","14800","14441","14635","3m","396.36m","14.59749k","7,995","1",
"04-Apr-2024","14650","14838","14375","14756","3m","466.04m","14.72967k","7,256","1",
"03-Apr-2024","14789","14789","14279","14498","3m","502.34m","14.41981k","7,696","1",
"02-Apr-2024","15098","15098","14458","14568","2m","269.79m","14.64605k","5,572","1",
"01-Apr-2024","0","0","0","14813","0","0","0","0","1",
"29-Mar-2024","0","0","0","14813","0","0","0","0","1",
"28-Mar-2024","14755","14840","14672","14813","1m","219.75m","14.7818k","3,735","1",
"27-Mar-2024","14700","14930","14555","14829","4m","659.82m","14.73393k","6,312","1",
"26-Mar-2024","14710","14874","14560","14647","3m","464.04m","14.67078k","7,901","1",
"25-Mar-2024","14844","14844","14527","14707","4m","547.35m","14.66067k","8,409","1",
"22-Mar-2024","15035","15152","14751","14806","3m","454.97m","14.89458k","7,902","1",
"21-Mar-2024","0","0","0","15042","0","0","0","0","1",
"20-Mar-2024","14958","15320","14958","15042","10m","1.56b","15.02884k","4,231","1",
"19-Mar-2024","14970","15225","14950","15073","3m","510.47m","15.07972k","7,270","1",
"18-Mar-2024","15325","15567","14973","15021","3m","510.86m","15.08521k","9,954","1",
"15-Mar-2024","15545","15839","15307","15307","6m","866.89m","15.34517k","8,275","1",
"14-Mar-2024","15500","15710","15322","15520","4m","653.37m","15.53194k","12,830","1",
"13-Mar-2024","15400","15642","15200","15313","4m","575.82m","15.37121k","9,977","1",
"12-Mar-2024","15905","16125","15372","15396","4m","624.84m","15.58956k","10,937","1",
"11-Mar-2024","16579","16579","15832","15832","7m","1.12b","16.02714k","13,615","1",
"08-Mar-2024","16599","16842","16257","16679","2m","388.62m","16.66478k","6,651","1",
"07-Mar-2024","16500","16807","16271","16405","1m","209.17m","16.39894k","4,730","1",
"06-Mar-2024","16499","16671","16353","16660","2m","317.06m","16.5918k","6,420","1",
"05-Mar-2024","16345","16624","16275","16341","2m","398.79m","16.39081k","6,712","1",
"04-Mar-2024","16575","16742","16323","16339","1m","198.89m","16.45595k","4,909","1",
"01-Mar-2024","16338","16621","16316","16559","1m","224.45m","16.53402k","6,677","1",
"29-Feb-2024","16320","16559","16283","16356","4m","714.77m","16.3767k","5,284","1",
"28-Feb-2024","16520","16735","16350","16414","1m","216.87m","16.40679k","5,490","1",
"27-Feb-2024","16480","16756","16412","16603","2m","370.6m","16.61536k","9,528","1",
"26-Feb-2024","16600","16600","16307","16577","3m","528.46m","16.45184k","8,660","1",
"23-Feb-2024","17048","17049","16612","16646","2m","302.26m","16.70526k","6,970","1",
"22-Feb-2024","17112","17199","16840","16941","2m","267.35m","16.99699k","5,594","1",
"21-Feb-2024","16400","17019","16400","16933","4m","609.53m","16.88307k","6,770","1",
"20-Feb-2024","16700","16728","16524","16639","2m","261.85m","16.62101k","6,050","1",
"19-Feb-2024","16900","16900","16483","16699","915k","152.57m","16.67837k","3,587","1",
"16-Feb-2024","16326","16834","16326","16625","2m","384.01m","16.64214k","7,505","1",
"15-Feb-2024","16270","16551","16250","16326","2m","288.28m","16.36655k","5,053","1",
"14-Feb-2024","16175","16489","16131","16284","2m","371.56m","16.31518k","8,024","1",
"13-Feb-2024","16325","16519","16110","16130","1m","206.44m","16.23409k","6,246","1",
"12-Feb-2024","16250","16520","16016","16447","2m","284.7m","16.33738k","5,371","1",
"09-Feb-2024","16210","16492","16210","16313","2m","262.86m","16.3792k","6,011","1",
"08-Feb-2024","16216","16571","16216","16381","2m","347.26m","16.42758k","7,488","1",
"07-Feb-2024","16390","16519","16236","16441","2m","302.84m","16.37961k","6,295","1",
"06-Feb-2024","16500","16537","16300","16421","2m","261.21m","16.43462k","4,217","1",
"05-Feb-2024","16399","16581","16181","16284","2m","280.44m","16.39619k","5,585","1",
"02-Feb-2024","16285","16575","16203","16284","3m","426.18m","16.41761k","8,329","1",
"01-Feb-2024","16100","16315","15990","16243","3m","519.08m","16.18331k","8,872","1",
"31-Jan-2024","16380","16468","16197","16380","5m","890.87m","16.37653k","9,110","1",
"30-Jan-2024","16400","16400","16209","16291","2m","354.96m","16.28295k","5,971","1",
"29-Jan-2024","16400","16485","16212","16225","3m","514.93m","16.33255k","6,375","1",
"26-Jan-2024","15964","16398","15799","16398","3m","455.47m","16.25844k","5,715","1",
"25-Jan-2024","15895","15945","15786","15919","6m","1.01b","15.89915k","5,828","1",
"24-Jan-2024","15776","15999","15757","15895","3m","404.04m","15.88734k","7,829","1",
"23-Jan-2024","15799","15987","15625","15776","2m","337.8m","15.77572k","6,698","1",
"22-Jan-2024","15799","15799","15537","15618","2m","355.1m","15.61295k","4,302","1",
"19-Jan-2024","15655","16025","15570","15700","3m","397.38m","15.71795k","7,400","1",
"18-Jan-2024","15530","15753","15502","15642","2m","294.66m","15.65615k","6,375","1",
"17-Jan-2024","15600","15667","15427","15450","3m","450.19m","15.48434k","7,361","1",
"16-Jan-2024","15880","15905","15652","15705","2m","255.61m","15.72572k","7,219","1",
"15-Jan-2024","16300","16300","15761","15921","2m","387.12m","15.9433k","7,083","1",
"12-Jan-2024","16176","16281","15989","16281","2m","393.09m","16.20656k","7,197","1",
"11-Jan-2024","15882","16181","15882","16177","2m","378.42m","16.11497k","5,546","1",
"10-Jan-2024","15988","16021","15834","15887","1m","188.13m","15.89827k","4,624","1",
"09-Jan-2024","15800","16060","15795","15925","2m","382.35m","15.94638k","6,269","1",
"08-Jan-2024","15700","15894","15670","15736","2m","305.49m","15.76288k","6,680","1",
"05-Jan-2024","15600","15804","15571","15802","2m","236m","15.72354k","5,148","1",
"04-Jan-2024","15751","16029","15665","15688","2m","279.82m","15.7727k","5,451","1",
"03-Jan-2024","16089","16167","15735","15776","2m","290.91m","15.83666k","6,663","1",
"02-Jan-2024","16171","16419","16119","16165","1m","169.61m","16.22012k","4,140","1",
"01-Jan-2024","0","0","0","16371","0","0","0","0","1",
"29-Dec-2023","16374","16396","16210","16371","1m","206.05m","16.3448k","2,422","1",
"28-Dec-2023","16332","16374","16159","16250","2m","269.97m","16.26566k","4,398","1",
"27-Dec-2023","16090","16294","15954","16187","3m","440.75m","16.17058k","9,483","1",
"26-Dec-2023","0","0","0","15879","0","0","0","0","1",
"25-Dec-2023","0","0","0","15879","0","0","0","0","1",
"22-Dec-2023","15551","16065","15551","15879","2m","252.54m","15.91194k","4,970","1",
"21-Dec-2023","15855","15855","15541","15631","6m","1.01b","15.58547k","5,318","1",
"20-Dec-2023","15500","15771","15485","15632","5m","743.97m","15.63428k","11,185","1",
"19-Dec-2023","15565","15565","15351","15480","4m","645.5m","15.44886k","11,152","1",
"18-Dec-2023","15756","15921","15441","15441","4m","652.72m","15.55329k","13,998","1",
"15-Dec-2023","0","0","0","15776","0","0","0","0","1",
"14-Dec-2023","15650","15908","15592","15776","10m","1.5b","15.76745k","20,880","1",
"13-Dec-2023","15300","15745","15300","15401","5m","833.49m","15.50541k","16,428","1",
"12-Dec-2023","16299","16299","15571","15571","3m","508.79m","15.74197k","14,593","1",
"11-Dec-2023","16000","16333","15700","15925","4m","670.7m","15.95016k","12,731","1",
"08-Dec-2023","16490","16600","15742","15964","9m","1.48b","16.05981k","22,008","1",
"07-Dec-2023","17560","17560","16972","17040","2m","366.92m","17.08713k","4,372","1",
"06-Dec-2023","17499","17616","17275","17454","1m","252.81m","17.42549k","4,075","1",
"05-Dec-2023","17490","17595","17305","17411","1m","218.39m","17.42323k","3,843","1",
"04-Dec-2023","17434","17500","17254","17490","1m","240.31m","17.44612k","3,565","1",
"01-Dec-2023","17527","17531","17215","17302","2m","316.06m","17.36582k","6,765","1",
"30-Nov-2023","17250","17533","17204","17376","5m","816.88m","17.38876k","7,428","1",
"29-Nov-2023","17500","17516","17133","17295","4m","621.01m","17.30311k","8,943","1",
"28-Nov-2023","17385","17664","17358","17522","2m","396.88m","17.53843k","6,646","1",
"27-Nov-2023","17727","17785","17330","17515","2m","434.65m","17.50582k","10,863","1",
"24-Nov-2023","17500","17769","17222","17728","4m","626.5m","17.63189k","7,706","1",
"23-Nov-2023","17500","17670","17248","17380","3m","518.46m","17.4729k","6,376","1",
"22-Nov-2023","17400","17587","17273","17344","2m","417.48m","17.38458k","5,917","1",
"21-Nov-2023","17522","17868","17400","17400","6m","1.03b","17.55156k","12,121","1",
"20-Nov-2023","17551","17779","17545","17570","3m","451.94m","17.60576k","7,584","1",
"17-Nov-2023","18099","18099","17549","17669","2m","324.07m","17.71297k","7,768","1",
"16-Nov-2023","18350","18491","17684","17891","3m","469.7m","18.02078k","7,410","1",
"15-Nov-2023","17615","18626","17615","18384","5m","858.81m","18.34915k","16,290","1",
"14-Nov-2023","17599","17713","17190","17700","4m","635.95m","17.44039k","9,836","1",
"13-Nov-2023","18000","18000","17292","17292","3m","483.08m","17.44308k","6,392","1",
"10-Nov-2023","17513","17891","17513","17741","1m","225.35m","17.71263k","5,275","1",
"09-Nov-2023","17600","17850","17520","17714","2m","285.11m","17.68798k","7,432","1",
"08-Nov-2023","17276","17805","17276","17805","1m","248.34m","17.6644k","4,884","1",
"07-Nov-2023","17557","18012","16001","17628","2m","338.65m","17.68751k","7,955","1",
"06-Nov-2023","17901","18256","17881","18074","1m","267.68m","18.032k","4,987","1",
"03-Nov-2023","17975","18310","17680","18097","2m","441.69m","18.08673k","7,533","1",
"02-Nov-2023","16985","17800","16985","17800","2m","378.56m","17.51896k","7,951","1",
"01-Nov-2023","17430","17430","16855","16985","2m","372.66m","16.98228k","5,725","1",
"31-Oct-2023","16700","17025","16700","16992","2m","414.75m","16.95656k","10,147","1",
"30-Oct-2023","16505","16825","16505","16800","2m","329.18m","16.77219k","4,636","1",
"27-Oct-2023","16679","16898","16533","16600","2m","285.82m","16.68765k","6,212","1",
"26-Oct-2023","17000","17000","16551","16741","2m","315.99m","16.71602k","8,977","1",
"25-Oct-2023","17600","17600","16758","16877","2m","307.24m","16.87846k","6,930","1",
"24-Oct-2023","17624","17624","16891","17096","1m","234.76m","17.03456k","4,951","1",
"23-Oct-2023","16890","17227","16605","17117","1m","215.03m","17.05818k","4,720","1",
"20-Oct-2023","17150","17218","16804","16890","2m","287.17m","16.91534k","7,413","1",
