Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"14-Oct-2024","5404","5569","5264","5500","1m","65.31m","5.4904k","1,705","1",
"11-Oct-2024","5325","5415","5315","5350","463k","24.79m","5.36092k","1,071","1",
"10-Oct-2024","5200","5393","5173","5325","2m","124.58m","5.32069k","1,710","1",
"09-Oct-2024","5200","5242","5161","5200","618k","32.13m","5.19878k","1,832","1",
"08-Oct-2024","5149","5300","5149","5197","684k","35.7m","5.21851k","2,692","1",
"07-Oct-2024","5155","5340","5149","5177","1m","55.28m","5.24931k","2,313","1",
"04-Oct-2024","5201","5210","5122","5177","344k","17.83m","5.17888k","946","1",
"03-Oct-2024","5182","5205","5111","5200","267k","13.85m","5.18589k","1,002","1",
"02-Oct-2024","5215","5275","5174","5200","773k","40.41m","5.22423k","1,373","1",
"01-Oct-2024","5292","5428","5218","5227","857k","45.42m","5.28943k","1,729","1",
"30-Sep-2024","5500","5520","5186","5254","449k","23.73m","5.28383k","1,023","1",
"27-Sep-2024","5700","5949","5422","5500","789k","44m","5.56435k","843","1",
"26-Sep-2024","5711","5800","5669","5797","605k","34.57m","5.7153k","1,079","1",
"25-Sep-2024","5649","5920","5557","5600","303k","17.03m","5.62274k","909","1",
"24-Sep-2024","0","0","0","5553","0","0","0","0","1",
"23-Sep-2024","5600","5600","5528","5553","311k","17.32m","5.565k","1,061","1",
"20-Sep-2024","5748","5762","5600","5600","739k","41.58m","5.62399k","1,070","1",
"19-Sep-2024","5800","5820","5570","5725","483k","27.73m","5.74518k","1,348","1",
"18-Sep-2024","5501","5898","5428","5550","791k","43.96m","5.55854k","492","1",
"17-Sep-2024","5399","5540","5217","5451","136k","7.35m","5.39938k","331","1",
"16-Sep-2024","5260","5499","5128","5310","87k","4.63m","5.31551k","268","1",
"13-Sep-2024","5072","5230","5072","5228","349k","18.06m","5.16901k","671","1",
"12-Sep-2024","5041","5107","5028","5100","844k","42.72m","5.09693k","489","1",
"11-Sep-2024","5183","5189","5042","5047","338k","17.2m","5.0959k","488","1",
"10-Sep-2024","5010","5125","5010","5094","164k","8.35m","5.09156k","404","1",
"09-Sep-2024","5250","5250","5037","5037","285k","14.66m","5.12692k","588","1",
"06-Sep-2024","5060","5204","5049","5204","172k","8.84m","5.13649k","488","1",
"05-Sep-2024","5118","5132","4959","5051","497k","25.07m","5.04098k","815","1",
"04-Sep-2024","4877","5236","4877","5118","739k","37.44m","5.12033k","841","1",
"03-Sep-2024","4990","4990","4896","4951","306k","15.13m","4.93511k","672","1",
"02-Sep-2024","4989","4989","4900","4960","394k","19.43m","4.93137k","449","1",
"30-Aug-2024","5000","5029","4895","4925","672k","33.13m","4.93349k","944","1",
"29-Aug-2024","4990","5030","4828","5010","363k","18.14m","4.99729k","420","1",
"28-Aug-2024","4999","5074","4941","4998","1m","58.21m","4.98837k","439","1",
"27-Aug-2024","4949","5040","4890","5000","290k","14.41m","4.97542k","515","1",
"26-Aug-2024","4840","5031","4763","4907","791k","39.02m","4.88634k","1,057","1",
"23-Aug-2024","4600","4855","4600","4800","1m","63.83m","4.68723k","374","1",
"22-Aug-2024","4620","4733","4547","4599","180k","8.3m","4.60632k","302","1",
"21-Aug-2024","4520","4620","4480","4620","481k","21.82m","4.55674k","484","1",
"20-Aug-2024","4469","4535","4453","4457","640k","28.97m","4.47668k","118","1",
"19-Aug-2024","4375","4493","4374","4435","526k","23.21m","4.41022k","570","1",
"16-Aug-2024","4251","4384","4244","4343","704k","30.5m","4.33457k","703","1",
"15-Aug-2024","4163","4250","4160","4250","361k","15.26m","4.23095k","650","1",
"14-Aug-2024","4120","4242","4119","4161","783k","32.85m","4.19309k","486","1",
"13-Aug-2024","4000","4099","3924","4099","3m","139.61m","4.04853k","879","1",
"12-Aug-2024","4211","4225","3841","3986","267k","10.96m","4.10574k","597","1",
"09-Aug-2024","0","0","0","4265","0","0","0","0","1",
"08-Aug-2024","4336","4336","4215","4265","227k","9.73m","4.2846k","468","1",
"07-Aug-2024","4350","4350","4292","4350","217k","9.42m","4.33536k","501","1",
"06-Aug-2024","4570","4570","4275","4304","209k","9.07m","4.33438k","526","1",
"05-Aug-2024","4657","4657","4360","4400","296k","13.03m","4.40231k","822","1",
"02-Aug-2024","4600","4600","4404","4500","365k","16.43m","4.50005k","643","1",
"01-Aug-2024","4590","4620","4494","4519","231k","10.48m","4.54085k","337","1",
"31-Jul-2024","4589","4590","4562","4590","130k","5.95m","4.58324k","132","1",
"30-Jul-2024","4550","4650","4516","4519","166k","7.58m","4.57084k","358","1",
"29-Jul-2024","4600","4662","4476","4590","621k","28.57m","4.60222k","297","1",
"26-Jul-2024","4520","4620","4422","4605","91k","4.17m","4.59219k","300","1",
"25-Jul-2024","4460","4511","4411","4511","203k","9.04m","4.45843k","602","1",
"24-Jul-2024","4400","4457","4400","4439","200k","8.86m","4.4371k","227","1",
"23-Jul-2024","4499","4499","4400","4400","34k","1.5m","4.43692k","101","1",
"22-Jul-2024","4498","4549","4404","4450","1m","49.86m","4.44933k","161","1",
"19-Jul-2024","4420","4535","4407","4450","917k","40.85m","4.4533k","529","1",
"18-Jul-2024","4440","4503","4401","4450","237k","10.57m","4.45756k","530","1",
"17-Jul-2024","4574","4574","4450","4450","170k","7.56m","4.45722k","117","1",
"16-Jul-2024","4365","4581","4365","4499","133k","6.01m","4.52511k","243","1",
"15-Jul-2024","4565","4650","4371","4585","77k","3.52m","4.58897k","157","1",
"12-Jul-2024","4520","4615","4450","4560","537k","24.44m","4.54769k","358","1",
"11-Jul-2024","4599","4641","4523","4527","1m","54.22m","4.56517k","504","1",
"10-Jul-2024","4683","4713","4603","4616","90k","4.19m","4.65218k","242","1",
"09-Jul-2024","4652","4774","4634","4650","110k","5.13m","4.67317k","212","1",
"08-Jul-2024","4773","4773","4587","4665","208k","9.7m","4.66154k","188","1",
"05-Jul-2024","4615","4769","4473","4720","1m","59.96m","4.65103k","278","1",
"04-Jul-2024","4366","4589","4231","4530","275k","12.37m","4.5084k","294","1",
"03-Jul-2024","4351","4360","4247","4314","646k","27.71m","4.30008k","272","1",
"02-Jul-2024","4284","4408","4232","4280","4m","183.14m","4.32858k","371","1",
"01-Jul-2024","4000","4285","4000","4230","605k","25.52m","4.20669k","432","1",
"28-Jun-2024","3959","4025","3954","4000","80k","3.2m","4.00179k","228","1",
"27-Jun-2024","3928","4000","3840","3970","52k","2.05m","3.95461k","103","1",
"26-Jun-2024","3977","4015","3904","4015","53k","2.1m","3.9941k","133","1",
"25-Jun-2024","3881","3980","3843","3977","42k","1.64m","3.94496k","146","1",
"24-Jun-2024","3960","3971","3880","3918","119k","4.66m","3.90782k","638","1",
"21-Jun-2024","4129","4129","3931","3960","798k","31.72m","3.97437k","746","1",
"20-Jun-2024","3849","4120","3849","4020","466k","18.72m","4.01853k","496","1",
"19-Jun-2024","3735","3849","3674","3849","1m","45.39m","3.77467k","508","1",
"18-Jun-2024","3600","3688","3600","3650","254k","9.27m","3.6489k","168","1",
"17-Jun-2024","0","0","0","3564","0","0","0","0","1",
