Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"11-Sep-2023","21200","21395","21116","21116","1m","270.51m","21.17716k","5,572","1",
"08-Sep-2023","20680","21131","20621","21101","2m","319.93m","20.98133k","7,738","1",
"07-Sep-2023","20600","20871","20542","20681","1m","289.99m","20.71905k","5,678","1",
"06-Sep-2023","20833","21094","20637","20729","2m","402.73m","20.81516k","8,506","1",
"05-Sep-2023","21518","21736","21241","21580","2m","379.78m","21.5443k","6,732","1",
"04-Sep-2023","21650","21770","21456","21569","1m","257.34m","21.62342k","4,948","1",
"01-Sep-2023","21462","21625","21324","21407","1m","308.93m","21.4711k","6,942","1",
"31-Aug-2023","21800","21875","21434","21581","4m","961.96m","21.58915k","8,385","1",
"30-Aug-2023","21549","21950","21500","21764","1m","302.15m","21.80302k","6,945","1",
"29-Aug-2023","21400","21857","21364","21550","719k","155.16m","21.56875k","3,696","1",
"28-Aug-2023","21410","21874","21410","21751","818k","177.77m","21.73273k","4,033","1",
"25-Aug-2023","21284","21815","21284","21690","1m","290.98m","21.69055k","5,803","1",
"24-Aug-2023","21639","21756","21445","21475","1m","309.09m","21.54944k","5,530","1",
"23-Aug-2023","20751","21608","20751","21588","3m","544.61m","21.41142k","11,296","1",
"22-Aug-2023","21000","21310","20692","20879","4m","816.83m","20.9828k","8,937","1",
"21-Aug-2023","20500","21232","20322","20924","3m","641.89m","20.93664k","10,021","1",
"18-Aug-2023","20860","20860","20346","20451","3m","617.99m","20.44581k","10,223","1",
"17-Aug-2023","21270","21273","20700","20856","4m","820.15m","20.89745k","14,586","1",
"16-Aug-2023","21200","21345","20952","21270","4m","748.2m","21.16945k","8,836","1",
"15-Aug-2023","22495","22495","21271","21271","3m","673.6m","21.44361k","8,091","1",
"14-Aug-2023","22890","22997","22197","22256","2m","485.01m","22.44926k","7,274","1",
"11-Aug-2023","23200","23203","22963","23031","2m","353.42m","23.07566k","7,908","1",
"10-Aug-2023","22510","23290","22510","23200","1m","271.47m","23.14534k","6,509","1",
"09-Aug-2023","0","0","0","22970","0","0","0","0","1",
"08-Aug-2023","23144","23600","22846","22970","1m","277.05m","23.12542k","6,715","1",
"07-Aug-2023","22761","23109","22686","22827","895k","204.38m","22.82895k","3,136","1",
"04-Aug-2023","22635","22912","22635","22820","1m","321.12m","22.80311k","5,913","1",
"03-Aug-2023","22757","22757","22106","22493","1m","259.91m","22.39225k","8,166","1",
"02-Aug-2023","22805","23300","22645","22645","2m","364.04m","22.81641k","7,592","1",
"01-Aug-2023","22823","23624","22823","23335","1m","237.87m","23.37757k","3,782","1",
"31-Jul-2023","23400","23797","23400","23500","2m","360.74m","23.53367k","5,579","1",
"28-Jul-2023","23330","23650","23325","23534","957k","225.16m","23.52173k","3,631","1",
"27-Jul-2023","23056","23663","23054","23600","2m","441.53m","23.48719k","5,244","1",
"26-Jul-2023","22651","23251","22651","23140","1m","316.2m","23.06794k","3,369","1",
"25-Jul-2023","22888","23018","22611","22963","2m","356.53m","22.88465k","4,275","1",
"24-Jul-2023","22591","22928","22473","22888","936k","213.16m","22.77595k","4,138","1",
"21-Jul-2023","22554","22717","22510","22634","492k","111.43m","22.64006k","2,331","1",
"20-Jul-2023","22711","22742","22430","22638","1m","229.34m","22.61917k","4,722","1",
"19-Jul-2023","22700","22749","22510","22551","1m","287.93m","22.59414k","4,056","1",
"18-Jul-2023","22579","22628","22241","22628","2m","389.58m","22.5257k","6,491","1",
"17-Jul-2023","22001","22660","22001","22400","2m","503.19m","22.39726k","7,704","1",
"14-Jul-2023","22500","22790","22226","22311","2m","540.66m","22.4108k","6,011","1",
"13-Jul-2023","22215","22604","22100","22461","2m","422.23m","22.37971k","6,750","1",
"12-Jul-2023","21900","22547","21900","22446","2m","405.24m","22.36937k","6,332","1",
"11-Jul-2023","22196","22300","21860","22073","2m","464.88m","22.05962k","6,859","1",
"10-Jul-2023","22465","22465","21995","22177","686k","151.79m","22.12792k","4,884","1",
"07-Jul-2023","21899","22423","21890","22423","1m","251.99m","22.29131k","3,938","1",
"06-Jul-2023","22660","22708","22108","22178","989k","221.26m","22.37363k","4,907","1",
"05-Jul-2023","22897","22897","22283","22656","1m","310.14m","22.52614k","5,776","1",
"04-Jul-2023","22899","22947","22662","22897","870k","198.84m","22.84452k","4,156","1",
"03-Jul-2023","22754","23129","22494","22774","1m","335.3m","22.80294k","3,487","1",
"30-Jun-2023","22766","22892","22371","22858","1m","338.48m","22.75161k","3,512","1",
"29-Jun-2023","22390","22566","22266","22551","1m","280.78m","22.4701k","3,511","1",
"28-Jun-2023","22400","22625","22175","22304","1m","260.32m","22.30528k","3,324","1",
"27-Jun-2023","22450","22558","22152","22433","1m","309.67m","22.31701k","5,562","1",
"26-Jun-2023","22500","22566","22304","22396","2m","339.08m","22.42174k","5,536","1",
"23-Jun-2023","22710","22923","22096","22419","2m","459.55m","22.32284k","7,798","1",
"22-Jun-2023","22800","23251","22606","22749","1m","229.44m","22.78455k","4,572","1",
"21-Jun-2023","22851","23120","22760","22995","2m","409.24m","22.9813k","5,504","1",
"20-Jun-2023","23012","23352","22902","23032","2m","411.35m","23.09926k","7,166","1",
"19-Jun-2023","22602","23176","22563","23161","2m","393.42m","23.03018k","5,412","1",
"16-Jun-2023","0","0","0","22928","0","0","0","0","1",
"15-Jun-2023","22700","23070","22566","22928","11m","2.54b","22.94383k","9,093","1",
"14-Jun-2023","22443","22944","22349","22835","3m","613.31m","22.77565k","10,104","1",
"13-Jun-2023","22200","22632","22167","22553","2m","501.14m","22.44589k","10,366","1",
"12-Jun-2023","22308","22500","21910","22100","2m","536.06m","22.15693k","9,688","1",
"09-Jun-2023","22000","22741","21891","22308","3m","718.02m","22.41448k","12,982","1",
"08-Jun-2023","21501","22252","21495","22037","3m","646.52m","22.03544k","8,320","1",
"07-Jun-2023","21158","21729","21140","21717","2m","478.64m","21.56698k","5,630","1",
"06-Jun-2023","21133","21228","20738","21158","4m","801.58m","21.05603k","7,881","1",
"05-Jun-2023","20653","21133","20607","21133","2m","496.13m","20.9893k","9,301","1",
"02-Jun-2023","20579","20956","20026","20751","4m","914.88m","20.55495k","13,077","1",
"01-Jun-2023","20894","21107","20593","20850","2m","346.13m","20.83529k","6,027","1",
"31-May-2023","20350","21148","20303","20817","5m","1.01b","20.82572k","6,884","1",
"30-May-2023","21099","21099","20449","20555","2m","336.71m","20.73123k","5,378","1",
"29-May-2023","21099","21099","20827","20940","968k","202.59m","20.93824k","3,079","1",
"26-May-2023","21096","21192","20576","20911","2m","365.49m","20.8686k","4,572","1",
"25-May-2023","21499","21499","20900","21072","2m","401.32m","21.07644k","5,406","1",
"24-May-2023","21200","21343","20965","21011","2m","377.53m","21.08293k","5,079","1",
"23-May-2023","21300","21400","21100","21188","2m","323.64m","21.24057k","5,621","1",
"22-May-2023","21050","21301","20737","21150","2m","481.49m","21.15718k","6,554","1",
"19-May-2023","20873","21039","20804","20882","3m","539.23m","20.91065k","4,968","1",
"18-May-2023","20855","20984","20668","20873","2m","382.69m","20.80394k","6,296","1",
"17-May-2023","20853","21024","20672","20855","2m","402.81m","20.83693k","7,401","1",
"16-May-2023","20900","21221","20725","20959","2m","440.26m","20.97705k","6,226","1",
"15-May-2023","20601","21046","20601","20885","3m","590.73m","20.8629k","8,621","1",
"12-May-2023","20000","20932","19951","20914","3m","630.9m","20.67055k","10,639","1",
"11-May-2023","21000","21148","19901","20315","5m","1.07b","20.53776k","15,741","1",
"10-May-2023","21102","21223","20843","21000","3m","637.74m","21.0028k","8,833","1",
"09-May-2023","20793","21320","20793","21231","2m","443.29m","21.19993k","7,349","1",
"08-May-2023","20995","21185","20769","21012","2m","420.99m","21.05555k","5,833","1",
"05-May-2023","20301","21033","20301","20917","3m","631.24m","20.77456k","9,633","1",
"04-May-2023","21000","21000","20142","20380","4m","792.19m","20.45985k","8,951","1",
"03-May-2023","20995","20995","20563","20881","2m","380.1m","20.8189k","8,430","1",
"02-May-2023","21300","21300","20681","20800","2m","390.82m","20.85028k","7,281","1",
"01-May-2023","0","0","0","21105","0","0","0","0","1",
"28-Apr-2023","21100","21143","20650","21105","3m","581.95m","21.0143k","6,818","1",
"27-Apr-2023","0","0","0","21013","0","0","0","0","1",
"26-Apr-2023","20949","21013","20677","21013","5m","1.1b","20.86493k","7,159","1",
"25-Apr-2023","20651","20911","20574","20795","3m","562.73m","20.77528k","7,694","1",
"24-Apr-2023","20820","20860","20558","20678","2m","359.08m","20.69384k","5,130","1",
"21-Apr-2023","20301","20846","20301","20750","2m","443.47m","20.72234k","5,881","1",
"20-Apr-2023","20350","20881","20350","20700","2m","511.71m","20.71583k","8,061","1",
"19-Apr-2023","20888","20888","20240","20551","5m","970.38m","20.50713k","11,435","1",
"18-Apr-2023","21194","21194","20525","20607","4m","788.91m","20.68573k","10,429","1",
"17-Apr-2023","21628","21628","20943","20986","3m","604.86m","21.0649k","7,557","1",
"14-Apr-2023","21500","21944","21297","21519","3m","750.14m","21.58604k","12,271","1",
"13-Apr-2023","21480","21700","21351","21463","2m","480.83m","21.47887k","5,350","1",
"12-Apr-2023","21650","21784","21430","21574","3m","635.1m","21.55827k","8,701","1",
